Resourceprovider,Resourcetypename,Resourcetype,Resourcegroup,Subscription,,,,,,,,,
Microsoft.Media,mediaservices,Microsoft.Media/mediaservices,Yes,Yes,,,,,,,,,
Microsoft.Media,mediaservices/liveevents,Microsoft.Media/mediaservices/liveevents,Yes,Yes,,,,,,,,,
Microsoft.Media,mediaservices/streamingendpoints,Microsoft.Media/mediaservices/streamingendpoints,Yes,Yes,,,,,,,,,
Microsoft.Migrate,projects,Microsoft.Migrate/projects,No,No,,,,,,,,,
Microsoft.Network,applicationgateways,Microsoft.Network/applicationgateways,No,No,,,,,,,,,
Microsoft.Network,applicationsecuritygroups,Microsoft.Network/applicationsecuritygroups,Yes,Yes,,,,,,,,,
Microsoft.Network,azurefirewalls,Microsoft.Network/azurefirewalls,Yes,Yes,,,,,,,,,
Microsoft.Network,connections,Microsoft.Network/connections,Yes,Yes,,,,,,,,,
Microsoft.Network,ddosprotectionplans,Microsoft.Network/ddosprotectionplans,No,No,,,,,,,,,
Microsoft.Network,dnszones,Microsoft.Network/dnszones,Yes,Yes,,,,,,,,,
Microsoft.Network,expressroutecircuits,Microsoft.Network/expressroutecircuits,No,No,,,,,,,,,
Microsoft.Network,expressroutecrossconnections,Microsoft.Network/expressroutecrossconnections,No,No,,,,,,,,,
Microsoft.Network,expressroutegateways,Microsoft.Network/expressroutegateways,No,No,,,,,,,,,
Microsoft.Network,expressrouteports,Microsoft.Network/expressrouteports,No,No,,,,,,,,,
Microsoft.Network,frontdoors,Microsoft.Network/frontdoors,Yes,Yes,,,,,,,,,
Microsoft.Network,frontdoorwebapplicationfirewallpolicies,Microsoft.Network/frontdoorwebapplicationfirewallpolicies,Yes,Yes,,,,,,,,,
Microsoft.Network,interfaceendpoints,Microsoft.Network/interfaceendpoints,No,No,,,,,,,,,
Microsoft.Network,loadbalancers,Microsoft.Network/loadbalancers,Yes,Yes,,,,,,,,,
Microsoft.Network,localnetworkgateways,Microsoft.Network/localnetworkgateways,Yes,Yes,,,,,,,,,
Microsoft.Network,networkintentpolicies,Microsoft.Network/networkintentpolicies,Yes,Yes,,,,,,,,,
Microsoft.Network,networkinterfaces,Microsoft.Network/networkinterfaces,Yes,Yes,,,,,,,,,
Microsoft.Network,networkprofiles,Microsoft.Network/networkprofiles,No,No,,,,,,,,,
Microsoft.Network,networksecuritygroups,Microsoft.Network/networksecuritygroups,Yes,Yes,,,,,,,,,
Microsoft.Network,networkwatchers,Microsoft.Network/networkwatchers,Yes,Yes,,,,,,,,,
Microsoft.Network,networkwatchers/connectionmonitors,Microsoft.Network/networkwatchers/connectionmonitors,Yes,Yes,,,,,,,,,
Microsoft.Network,networkwatchers/lenses,Microsoft.Network/networkwatchers/lenses,Yes,Yes,,,,,,,,,
Microsoft.Network,networkwatchers/pingmeshes,Microsoft.Network/networkwatchers/pingmeshes,Yes,Yes,,,,,,,,,
Microsoft.Network,publicipaddresses,Microsoft.Network/publicipaddresses,Yes,Yes,,,,,,,,,
Microsoft.Network,publicipprefixes,Microsoft.Network/publicipprefixes,Yes,Yes,,,,,,,,,
Microsoft.Network,routefilters,Microsoft.Network/routefilters,No,No,,,,,,,,,
Microsoft.Network,routetables,Microsoft.Network/routetables,Yes,Yes,,,,,,,,,
Microsoft.Network,serviceendpointpolicies,Microsoft.Network/serviceendpointpolicies,Yes,Yes,,,,,,,,,
Microsoft.Network,trafficmanagerprofiles,Microsoft.Network/trafficmanagerprofiles,Yes,Yes,,,,,,,,,
Microsoft.Network,virtualhubs,Microsoft.Network/virtualhubs,Yes,Yes,,,,,,,,,
Microsoft.Network,virtualnetworkgateways,Microsoft.Network/virtualnetworkgateways,Yes,Yes,,,,,,,,,
Microsoft.Network,virtualnetworks,Microsoft.Network/virtualnetworks,Yes,Yes,,,,,,,,,
Microsoft.Network,virtualnetworktaps,Microsoft.Network/virtualnetworktaps,No,No,,,,,,,,,
Microsoft.Network,virtualwans,Microsoft.Network/virtualwans,Yes,Yes,,,,,,,,,
Microsoft.Network,vpngateways,Microsoft.Network/vpngateways,Yes,Yes,,,,,,,,,
Microsoft.Network,vpnsites,Microsoft.Network/vpnsites,Yes,Yes,,,,,,,,,
Microsoft.Network,webapplicationfirewallpolicies,Microsoft.Network/webapplicationfirewallpolicies,Yes,Yes,,,,,,,,,
Microsoft.NotificationHubs,namespaces,Microsoft.NotificationHubs/namespaces,Yes,Yes,,,,,,,,,
Microsoft.NotificationHubs,namespaces/notificationhubs,Microsoft.NotificationHubs/namespaces/notificationhubs,Yes,Yes,,,,,,,,,
Microsoft.OperationalInsights,workspaces,Microsoft.OperationalInsights/workspaces,Yes,Yes,,,,,,,,,
Microsoft.OperationsManagement,managementconfigurations,Microsoft.OperationsManagement/managementconfigurations,Yes,Yes,,,,,,,,,
Microsoft.OperationsManagement,solutions,Microsoft.OperationsManagement/solutions,Yes,Yes,,,,,,,,,
Microsoft.OperationsManagement,views,Microsoft.OperationsManagement/views,Yes,Yes,,,,,,,,,
Microsoft.Portal,dashboards,Microsoft.Portal/dashboards,Yes,Yes,,,,,,,,,
Microsoft.PowerBI,workspacecollections,Microsoft.PowerBI/workspacecollections,Yes,Yes,,,,,,,,,
Microsoft.PowerBIDedicated,capacities,Microsoft.PowerBIDedicated/capacities,Yes,Yes,,,,,,,,,
Microsoft.RecoveryServices,vaults,Microsoft.RecoveryServices/vaults,Yes,Yes,,,,,,,,,
Microsoft.Relay,namespaces,Microsoft.Relay/namespaces,Yes,Yes,,,,,,,,,
Microsoft.SaaS,applications,Microsoft.SaaS/applications,Yes,No,,,,,,,,,
Microsoft.Scheduler,flows,Microsoft.Scheduler/flows,Yes,Yes,,,,,,,,,
Microsoft.Scheduler,jobcollections,Microsoft.Scheduler/jobcollections,Yes,Yes,,,,,,,,,
Microsoft.Search,searchservices,Microsoft.Search/searchservices,Yes,Yes,,,,,,,,,
Microsoft.ServiceBus,namespaces,Microsoft.ServiceBus/namespaces,Yes,Yes,,,,,,,,,
Microsoft.ServiceFabric,clusters,Microsoft.ServiceFabric/clusters,Yes,Yes,,,,,,,,,
Microsoft.ServiceFabricMesh,applications,Microsoft.ServiceFabricMesh/applications,Yes,Yes,,,,,,,,,
Microsoft.ServiceFabricMesh,networks,Microsoft.ServiceFabricMesh/networks,Yes,Yes,,,,,,,,,
Microsoft.ServiceFabricMesh,volumes,Microsoft.ServiceFabricMesh/volumes,Yes,Yes,,,,,,,,,
Microsoft.SignalRService,signalr,Microsoft.SignalRService/signalr,Yes,Yes,,,,,,,,,
Microsoft.SiteRecovery,siterecoveryvault,Microsoft.SiteRecovery/siterecoveryvault,No,No,,,,,,,,,
Microsoft.Solutions,appliancedefinitions,Microsoft.Solutions/appliancedefinitions,No,No,,,,,,,,,
Microsoft.Solutions,appliances,Microsoft.Solutions/appliances,No,No,,,,,,,,,
Microsoft.Solutions,applicationdefinitions,Microsoft.Solutions/applicationdefinitions,No,No,,,,,,,,,
Microsoft.Solutions,applications,Microsoft.Solutions/applications,No,No,,,,,,,,,
Microsoft.Sql,managedinstances,Microsoft.Sql/managedinstances,Yes,Yes,,,,,,,,,
Microsoft.Sql,managedinstances/databases,Microsoft.Sql/managedinstances/databases,Yes,Yes,,,,,,,,,
Microsoft.Sql,servers,Microsoft.Sql/servers,Yes,Yes,,,,,,,,,
Microsoft.Sql,servers/databases,Microsoft.Sql/servers/databases,Yes,Yes,,,,,,,,,
Microsoft.Sql,servers/elasticpools,Microsoft.Sql/servers/elasticpools,Yes,Yes,,,,,,,,,
Microsoft.Sql,virtualclusters,Microsoft.Sql/virtualclusters,Yes,Yes,,,,,,,,,
Microsoft.Storage,storageaccounts,Microsoft.Storage/storageaccounts,Yes,Yes,,,,,,,,,
Microsoft.StorageSync,storagesyncservices,Microsoft.StorageSync/storagesyncservices,Yes,Yes,,,,,,,,,
Microsoft.StorSimple,managers,Microsoft.StorSimple/managers,No,No,,,,,,,,,
Microsoft.StreamAnalytics,streamingjobs,Microsoft.StreamAnalytics/streamingjobs,Yes,Yes,,,,,,,,,
Microsoft.TimeSeriesInsights,environments,Microsoft.TimeSeriesInsights/environments,Yes,Yes,,,,,,,,,
Microsoft.TimeSeriesInsights,environments/eventsources,Microsoft.TimeSeriesInsights/environments/eventsources,Yes,Yes,,,,,,,,,
Microsoft.TimeSeriesInsights,environments/referencedatasets,Microsoft.TimeSeriesInsights/environments/referencedatasets,Yes,Yes,,,,,,,,,
microsoft.visualstudio,account,microsoft.visualstudio/account,Yes,Yes,,,,,,,,,
microsoft.visualstudio,account/extension,microsoft.visualstudio/account/extension,Yes,Yes,,,,,,,,,
microsoft.visualstudio,account/project,microsoft.visualstudio/account/project,Yes,Yes,,,,,,,,,
Microsoft.Web,certificates,Microsoft.Web/certificates,No,Yes,,,,,,,,,
Microsoft.Web,classicmobileservices,Microsoft.Web/classicmobileservices,No,No,,,,,,,,,
Microsoft.Web,connectiongateways,Microsoft.Web/connectiongateways,Yes,Yes,,,,,,,,,
Microsoft.Web,connections,Microsoft.Web/connections,Yes,Yes,,,,,,,,,
Microsoft.Web,customapis,Microsoft.Web/customapis,Yes,Yes,,,,,,,,,
Microsoft.Web,hostingenvironments,Microsoft.Web/hostingenvironments,No,No,,,,,,,,,
Microsoft.Web,serverfarms,Microsoft.Web/serverfarms,Yes,Yes,,,,,,,,,
Microsoft.Web,sites,Microsoft.Web/sites,Yes,Yes,,,,,,,,,
Microsoft.Web,sites/premieraddons,Microsoft.Web/sites/premieraddons,Yes,Yes,,,,,,,,,
Microsoft.Web,sites/slots,Microsoft.Web/sites/slots,Yes,Yes,,,,,,,,,
Microsoft.WindowsIoT,deviceservices,Microsoft.WindowsIoT/deviceservices,Yes,Yes,,,,,,,,,
84codes.CloudAMQP,,,No,No,,,,,,,,,
AppDynamics.APM,,,No,No,,,,,,,,,
Aspera.Transfers,,,No,No,,,,,,,,,
Auth0.Cloud,,,No,No,,,,,,,,,
Citrix.Cloud,,,No,No,,,,,,,,,
Citrix.Services,,,No,No,,,,,,,,,
CloudSimple.PrivateCloudIaaS,,,No,No,,,,,,,,,
Cloudyn.Analytics,,,No,No,,,,,,,,,
Conexlink.MyCloudIT,,,No,No,,,,,,,,,
Crypteron.DataSecurity,,,No,No,,,,,,,,,
Dynatrace.DynatraceSaaS,,,No,No,,,,,,,,,
Dynatrace.Ruxit,,,No,No,,,,,,,,,
LiveArena.Broadcast,,,No,No,,,,,,,,,
Lombiq.DotNest,,,No,No,,,,,,,,,
Mailjet.Email,,,No,No,,,,,,,,,
Myget.PackageManagement,,,No,No,,,,,,,,,
NewRelic.APM,,,No,No,,,,,,,,,
nuubit.nextgencdn,,,No,No,,,,,,,,,
Paraleap.CloudMonix,,,No,No,,,,,,,,,
Pokitdok.Platform,,,No,No,,,,,,,,,
RavenHq.Db,,,No,No,,,,,,,,,
Raygun.CrashReporting,,,No,No,,,,,,,,,
RevAPM.MobileCDN,,,No,No,,,,,,,,,
Sendgrid.Email,,,No,No,,,,,,,,,
Sparkpost.Basic,,,No,No,,,,,,,,,
stackify.retrace,,,No,No,,,,,,,,,
SuccessBricks.ClearDB,,,No,No,,,,,,,,,
TrendMicro.DeepSecurity,,,No,No,,,,,,,,,
U2uconsult.TheIdentityHub,,,No,No,,,,,,,,,
